title,identifier,url,date,pages,thumb_url,views,color,per_text,pen_color
"Marion Stokes Journal (April 8, 1971)",marionstokesjournal1971-04-08,http://archive.org/details/marionstokesjournal1971-04-08,date:[1971-04-08],0,https://archive.org/download/marionstokesjournal1971-04-08/__ia_thumb.jpg,3,[246 241 230],11.7,undetermined
"Marion Stokes Journal (April 15, 16, 17, and 18, 1971)",marionstokesjournal1971-04-15,http://archive.org/details/marionstokesjournal1971-04-15,date:[1971-04-15 AND 1971-04-16 AND 1971-04-17 AND 1971-04-18],0,https://archive.org/download/marionstokesjournal1971-04-15/__ia_thumb.jpg,8,[243 239 226],11.8,undetermined
"Marion Stokes Journal (April 24 and April 25, 1971)",marionstokesjournal1971-04-24,http://archive.org/details/marionstokesjournal1971-04-24,date:[1971-04-24 AND 1971-04-25],0,https://archive.org/download/marionstokesjournal1971-04-24/__ia_thumb.jpg,4,[243 238 222],14.4,undetermined
"Marion Stokes Journal (June 4, 1971)",marionstokesjournal1971-06-04,http://archive.org/details/marionstokesjournal1971-06-04,date:[1971-06-04],0,https://archive.org/download/marionstokesjournal1971-06-04/__ia_thumb.jpg,3,[242 241 229],7.5,undetermined
"Marion Stokes Journal (June 21 and 23, 1971)",marionstokesjournal1971-06-21,http://archive.org/details/marionstokesjournal1971-06-21,date:[1971-06-21 AND 1971-06-23],0,https://archive.org/download/marionstokesjournal1971-06-21/__ia_thumb.jpg,3,[241 240 231],3.8,undetermined
"Marion Stokes Journal (June 26 and 29, and July 5, 1971)",marionstokesjournal1971-06-26,http://archive.org/details/marionstokesjournal1971-06-26,date:[1971-06-26 AND 1971-06-29 AND 1971-07-05],0,https://archive.org/download/marionstokesjournal1971-06-26/__ia_thumb.jpg,4,[236 226 203],12.5,undetermined
"Marion Stokes Journal (July 12, 1971)",marionstokesjournal1971-07-12,http://archive.org/details/marionstokesjournal1971-07-12,date:[1971-07-12],0,https://archive.org/download/marionstokesjournal1971-07-12/__ia_thumb.jpg,2,[242 240 230],8.7,undetermined
"Marion Stokes Journal (July 24, 1971)",marionstokesjournal1971-07-24,http://archive.org/details/marionstokesjournal1971-07-24,date:[1971-07-24],0,https://archive.org/download/marionstokesjournal1971-07-24/__ia_thumb.jpg,4,[242 239 228],14.5,undetermined
"Marion Stokes Journal (July 31, 1971)",marionstokesjournal1971-07-31,http://archive.org/details/marionstokesjournal1971-07-31,date:[1971-07-31],0,https://archive.org/download/marionstokesjournal1971-07-31/__ia_thumb.jpg,2,[235 219 191],9.6,undetermined
"Marion Stokes Journal (August 29, 1971)",marionstokesjournal1971-08-29,http://archive.org/details/marionstokesjournal1971-08-29,date:[1971-08-29],0,https://archive.org/download/marionstokesjournal1971-08-29/__ia_thumb.jpg,3,[239 237 226],13.6,undetermined
